Index,Query(한글),LLM Output,Functions
0ZJUFU,나이트 모드 작동 중이니?,<function_SV>(type=3)<end>,['function_SV']
1CPEIB,오늘 날짜 알려줘.,<function_SV>(type=5)<end>,['function_SV']
1DNDVT,나이트 모드 켜져있니?,<function_SV>(type=3)<end>,['function_SV']
1MEUOZ,오늘 며칠이야?,<function_SV>(type=5)<end>,['function_SV']
1NLRDQ,와이파이 켜 있는지 알고 싶어.,<function_SV>(type=4)<end>,['function_SV']
1OFDBM,매너모드 켜진 상태인가?,<function_SV>(type=2)<end>,['function_SV']
1OMLTA,매너모드 지금 켜져있어?,<function_SV>(type=2)<end>,['function_SV']
1QWUXS,매너모드 켜진 상태야?,<function_SV>(type=2)<end>,['function_SV']
2NVEXM,몇 월 며칠인지 알려줘.,<function_SV>(type=5)<end>,['function_SV']
2ZVWZV,와이파이 연결했는지 확인해줘.,<function_SV>(type=4)<end>,['function_SV']
3BLQWI,인터넷 연결 여부를 알려주세요.,<function_SV>(type=4)<end>,['function_SV']
3BULZE,나이트 모드 활성화되어있니?,<function_SV>(type=3)<end>,['function_SV']
3DLLIB,나이트 모드 켜져있는지 확인해줘.,<function_SV>(type=3)<end>,['function_SV']
4EGHBA,시계가 몇 시야?,<function_SV>(type=1)<end>,['function_SV']
4NFWBR,현재 매너모드가 활성화 되어 있나요?,<function_SV>(type=2)<end>,['function_SV']
4UVUHA,날짜 좀 봐줄래?,<function_SV>(type=5)<end>,['function_SV']
6MVAJU,나이트 모드 지금 작동 중이야?,<function_SV>(type=3)<end>,['function_SV']
7HTJSD,시간 좀 보여줘.,<function_SV>(type=1)<end>,['function_SV']
7QDVBA,매너모드 지금 켜졌나?,<function_SV>(type=2)<end>,['function_SV']
7TULXO,인터넷 연결되어 있나요?,<function_SV>(type=4)<end>,['function_SV']
9VQBEG,매너모드 켜져있나?,<function_SV>(type=2)<end>,['function_SV']
