Index,Query(한글),LLM Output,Functions
0DRMGA,아지트 청정 모드 가동해봐,"<function_FF>(position=""아지트"")<end>",['function_FF']
0DVGFP,설계실에서 청정해보실래요,"<function_FF>(position=""설계실"")<end>",['function_FF']
0ELHUG,선택한 구역 청정 시작해볼게,<function_FF>(position=-1)<end>,['function_FF']
0HATUG,그림방에서 공기청정 해보면 좋겠어,"<function_FF>(position=""그림방"")<end>",['function_FF']
0JVNSL,동호회방 청정 작동시켜줄래,"<function_FF>(position=""동호회방"")<end>",['function_FF']
0KONIM,출입구측에서 공기청정해줄 수 있어요,"<function_FF>(position=""출입구측"")<end>",['function_FF']
0KZCSN,반오픈형에서 공기청정 시작해줄 수 있어,"<function_FF>(position=""반오픈형"")<end>",['function_FF']
0LBKEA,준영이방에서 공기청정 해주실래요,"<function_FF>(position=""준영이방"")<end>",['function_FF']
0MIHVD,201호실 공기청정 시스템 작동해줄래,"<function_FF>(position=""201호실"")<end>",['function_FF']
0OCRRK,101호실 청정해주실래요,"<function_FF>(position=""101호실"")<end>",['function_FF']
0OJVSL,홀C에서 청정 기능 가동해줄 수 있나요,"<function_FF>(position=""홀C"")<end>",['function_FF']
0ONSAA,미팅석 청정 해봐,"<function_FF>(position=""미팅석"")<end>",['function_FF']
0QOADF,큰방 청정해줄래,"<function_FF>(position=""큰방"")<end>",['function_FF']
0THOKH,단계별실에서 공기청정해주시면 좋겠어요,"<function_FF>(position=""단계별실"")<end>",['function_FF']
0YDGGZ,이 영화 어때 그리고 유아부실으로 가서 청정해 줘,<function_MR>();<function_FF>(position=유아부실)<end>,"['function_MR', 'function_FF']"
1AOORB,강의실102 청정 시작해,"<function_FF>(position=""강의실102"")<end>",['function_FF']
1BYQLM,품질관리실에서 청정해줄 수 있니,"<function_FF>(position=""품질관리실"")<end>",['function_FF']
1BZZWR,305호에서 청정 실행 시작해줘,"<function_FF>(position=""305호"")<end>",['function_FF']
1EHMXS,103호에서 청정 바로해주시면 감사해요,"<function_FF>(position=""103호"")<end>",['function_FF']
1ETSFZ,지금 있는 공간의 공기를 청소해줘,<function_FF>(position=-1)<end>,['function_FF']
1JHVSE,하이테이블 청정해줄 수 있을까,"<function_FF>(position=""하이테이블"")<end>",['function_FF']
1JLYPT,고급반실 청정 기능 작동해줄래요,"<function_FF>(position=""고급반실"")<end>",['function_FF']
1NVDIX,중급반 공기청정 활성화 시작해,"<function_FF>(position=""중급반"")<end>",['function_FF']
1OPYTD,사례관리실 청정 작동해주겠니,"<function_FF>(position=""사례관리실"")<end>",['function_FF']
1PAYQZ,체육지도실에서 청정해줘요,"<function_FF>(position=""체육지도실"")<end>",['function_FF']
1SJECV,프로그램실A에서 청정 활성화 시작해죠,"<function_FF>(position=""프로그램실A"")<end>",['function_FF']
1TFIHH,공용테이블에서 청정 진행해줄 수 있어,"<function_FF>(position=""공용테이블"")<end>",['function_FF']
1UBZBL,드링크룸에서 청정 바로 해줘,"<function_FF>(position=""드링크룸"")<end>",['function_FF']
1UCFPF,발표장에서 청정 진행해줄래요,"<function_FF>(position=""발표장"")<end>",['function_FF']
1UYNPW,제본실에서 지금 청정 시작해주실래요,"<function_FF>(position=""제본실"")<end>",['function_FF']
1VGORO,다락에서 청정해줄 수 있나요,"<function_FF>(position=""다락"")<end>",['function_FF']
2ESLWK,나만의비밀룸에서 청정해줄 수 있어요,"<function_FF>(position=""나만의비밀룸"")<end>",['function_FF']
2HNEUD,패밀리룸에서 청정 활성화 진행해주세요,"<function_FF>(position=""패밀리룸"")<end>",['function_FF']
2IBQLZ,선택된 공간의 공기를 깨끗하게 해줘,<function_FF>(position=-1)<end>,['function_FF']
2IVFFI,야외휴게실 청정 시스템 작동해주실래요,"<function_FF>(position=""야외휴게실"")<end>",['function_FF']
2JISRH,선택 공간 청정 할래,<function_FF>(position=-1)<end>,['function_FF']
2LDDZR,미디어실에서 공기청정 동작해주세요,"<function_FF>(position=""미디어실"")<end>",['function_FF']
2LKEXM,게임방 청정 실행해봐,"<function_FF>(position=""게임방"")<end>",['function_FF']
2MQOHP,선택 공간 공기청정 해줄래,<function_FF>(position=-1)<end>,['function_FF']
2NZITO,선택 공간 공기청정 해주면 안 돼,<function_FF>(position=-1)<end>,['function_FF']
2OIBBH,1강의실에서 청정해줄 수 있을까요,"<function_FF>(position=""1강의실"")<end>",['function_FF']
2PZKBA,토끼반에서 청정 기능 켜줄 수 있을까요,"<function_FF>(position=""토끼반"")<end>",['function_FF']
2VYSIX,고정 청정 온 그 후에 가든으로 가서 청정해 줘,<function_PG>();<function_FF>(position=가든)<end>,"['function_PG', 'function_FF']"
2XZVSX,워크존 청정해보세요,"<function_FF>(position=""워크존"")<end>",['function_FF']
2ZCLWD,민국이방 청정해주세요,"<function_FF>(position=""민국이방"")<end>",['function_FF']
3AEJUI,동물원방 공기청정 작동해주세요,"<function_FF>(position=""동물원방"")<end>",['function_FF']
3BTZFQ,루프탑바에서 청정 작동해주세요,"<function_FF>(position=""루프탑바"")<end>",['function_FF']
3EWKUG,내가 있는 방 공기를 정화해줄 수 있어?,<function_FF>(position=-1)<end>,['function_FF']
3IAXBW,이제 그만 복귀해 또 모임실으로 가서 청정해 줘,<function_KI>();<function_FF>(position=모임실)<end>,"['function_KI', 'function_FF']"
3IFTYM,웨딩홀에서 청정 모드 실행해봐,"<function_FF>(position=""웨딩홀"")<end>",['function_FF']
3JSHXX,고모부방에서 공기청정 즉시 동작해봐,"<function_FF>(position=""고모부방"")<end>",['function_FF']
3KQGYW,처음 위치로 돌아가주면 좋겠어 그러고 나서 유아부실에서 청정해 줘,<function_KI>();<function_FF>(position=유아부실)<end>,"['function_KI', 'function_FF']"
3KVRXR,법률상담실에서 청정 가동해주실래요,"<function_FF>(position=""법률상담실"")<end>",['function_FF']
3NERWQ,놀이터룸에서 공기청정 시작해,"<function_FF>(position=""놀이터룸"")<end>",['function_FF']
3NFCAS,모임실 공기청정 바로 해주겠어요,"<function_FF>(position=""모임실"")<end>",['function_FF']
3QORIX,카페존 청정 즉시해봐,"<function_FF>(position=""카페존"")<end>",['function_FF']
3RQRHE,테라스바에서 청정 기능 켜줘,"<function_FF>(position=""테라스바"")<end>",['function_FF']
3TBCQI,중국어반에서 즉시 공기청정해줄래요,"<function_FF>(position=""중국어반"")<end>",['function_FF']
3USIHT,선택한 공간 공기청정 시작해줄래,<function_FF>(position=-1)<end>,['function_FF']
3VGDXF,입구에서 청정 좀 해줄 수 있나요,"<function_FF>(position=""입구"")<end>",['function_FF']
3VGQQF,유아방 청정 즉시 작동해봐,"<function_FF>(position=""유아방"")<end>",['function_FF']
3VGVDK,울애기방에서 청정 실행 시작해줄래요,"<function_FF>(position=""울애기방"")<end>",['function_FF']
3YLBCT,서현이방에서 공기청정 해봐요,"<function_FF>(position=""서현이방"")<end>",['function_FF']
4BBSRG,잡동사니방 청정 가동 시작해,"<function_FF>(position=""잡동사니방"")<end>",['function_FF']
4BLLLO,부설연구소 공기청정 가동해보실래요,"<function_FF>(position=""부설연구소"")<end>",['function_FF']
4EJENT,입구옆자리에서 공기청정해보시면 감사해요,"<function_FF>(position=""입구옆자리"")<end>",['function_FF']
4FQBMC,스타리움관 공기청정 진행해줘,"<function_FF>(position=""스타리움관"")<end>",['function_FF']
4TKECA,인형놀이방에서 청정 시스템 가동해,"<function_FF>(position=""인형놀이방"")<end>",['function_FF']
4VZMKW,무인발권기존 청정 시스템 작동해주세요,"<function_FF>(position=""무인발권기존"")<end>",['function_FF']
4XQMSR,접수상담실에서 바로 청정해주세요,"<function_FF>(position=""접수상담실"")<end>",['function_FF']
5ANBAL,분해실 청정 부탁합니다,"<function_FF>(position=""분해실"")<end>",['function_FF']
5DHWAJ,홍보실 공기 청정이 필요해 그리고 뭐 좀 추천해줄래,<function_FF>(position=홍보실);<function_MR>()<end>,"['function_FF', 'function_MR']"
5HZXHF,선택 구역 공기청정 시작해,<function_FF>(position=-1)<end>,['function_FF']
5KUWZR,세계여행방에서 청정해주시면 감사해요,"<function_FF>(position=""세계여행방"")<end>",['function_FF']
5LBSLN,코끼리반에서 공기청정 해줘요,"<function_FF>(position=""코끼리반"")<end>",['function_FF']
5LUZVL,주류보관실에서 청정 진행해주세요,"<function_FF>(position=""주류보관실"")<end>",['function_FF']
5NNTDB,이번 주말에 뭐 할래 그리고 가든 청정,<function_MR>();<function_FF>(position=가든)<end>,"['function_MR', 'function_FF']"
5PSRYB,포장실에서 청정 기능 진행해줘,"<function_FF>(position=""포장실"")<end>",['function_FF']
5QDRFW,학부모자료실에서 청정해주면 좋겠어,"<function_FF>(position=""학부모자료실"")<end>",['function_FF']
5RDGWN,네번째강의실 공기청정 시작해줘요,"<function_FF>(position=""네번째강의실"")<end>",['function_FF']
5TLUCT,프리미엄실 청정 기능 실행해봐,"<function_FF>(position=""프리미엄실"")<end>",['function_FF']
5TNIPX,내아들침실 청정 바로 작동시켜봐,"<function_FF>(position=""내아들침실"")<end>",['function_FF']
5UBGRK,방재실에서 청정해줘,"<function_FF>(position=""방재실"")<end>",['function_FF']
5VEGIO,MX관 청정해주실 거예요,"<function_FF>(position=""MX관"")<end>",['function_FF']
5WQRIC,여자락커룸 즉시 청정 시스템 작동해주실래요,"<function_FF>(position=""여자락커룸"")<end>",['function_FF']
5YBCFD,미용실놀이방에서 청정 시작해줘,"<function_FF>(position=""미용실놀이방"")<end>",['function_FF']
5ZUBWK,원장실에서 지금 공기청정해보실래요,"<function_FF>(position=""원장실"")<end>",['function_FF']
6BWCGM,가족실 청정 기능 작동해줘,"<function_FF>(position=""가족실"")<end>",['function_FF']
6CZCKM,장애인자료실에서 공기청정해줄래요,"<function_FF>(position=""장애인자료실"")<end>",['function_FF']
6DICXQ,이벤트존 공기청정 즉시 시작해줄래,"<function_FF>(position=""이벤트존"")<end>",['function_FF']
