Index,Query(한글),LLM Output,Functions
0ASWQQ,이제 그만 복귀해 밝기를 일로 조정해줘,<function_KI>();<function_WN>(brightness=1)<end>,"['function_KI', 'function_WN']"
0CEMNU,고정 공기 청정 실행해줘 이어서 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,"['function_PG', 'function_WN']"
0CIGVC,처음 위치로 돌아가주면 좋겠어 엘이디를 팔십프로로 바꿔줘,<function_KI>();<function_WN>(brightness=4)<end>,"['function_KI', 'function_WN']"
0DCNQW,이제 그만 복귀해 그리고 화면 밝기를 4단계로 조정해줄래,<function_KI>();<function_WN>(brightness=4)<end>,"['function_KI', 'function_WN']"
0EKBGS,엘이디 밝기가 몇프로야,<function_WN>(get=True)<end>,['function_WN']
0FHSYX,지금 밝기 몇단계야,<function_WN>(get=True)<end>,['function_WN']
0GYMZT,엘이디 화면밝기를 사단계로 설정해줘,<function_WN>(brightness=4)<end>,['function_WN']
0JXTDC,이번 주말에 뭐 할 계획 있어 그러고 나서 엘이디 밝기를 40프로로 설정해줘,<function_MR>();<function_WN>(brightness=2)<end>,"['function_MR', 'function_WN']"
0KGRNT,고정 공청 기능 켜줘 그 다음에 엘씨디 조도를 삼단계로 맞춰줄래,<function_PG>();<function_WN>(brightness=3)<end>,"['function_PG', 'function_WN']"
0LCPQT,오늘 일정은 어떻게 돼 그리고 화면 밝기를 3단계로 조정해줄래,<function_MR>();<function_WN>(brightness=3)<end>,"['function_MR', 'function_WN']"
0NFKHG,고정 공청 기능 켜줘 그 다음에 엘이디 조명 꺼줘,<function_PG>();<function_WN>(brightness=0)<end>,"['function_PG', 'function_WN']"
0POJLT,오늘 진짜 힘들었어 다음으로 엘이디 밝기를 이십퍼로 설정해줘,<function_MR>();<function_WN>(brightness=1)<end>,"['function_MR', 'function_WN']"
0PVKTV,충전 위치로 되돌아가 그 다음에 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>,"['function_KI', 'function_WN']"
0QHSEE,엘이디 밝기 최대로 해줘,<function_WN>(brightness=5)<end>,['function_WN']
0SADDT,엘이디 화면밝기를 삼으로 해줘,<function_WN>(brightness=3)<end>,['function_WN']
0WWDSD,어디 가고 싶어 그리고 엘이디 불빛을 60퍼센트로 올려죠,<function_MR>();<function_WN>(brightness=3)<end>,"['function_MR', 'function_WN']"
0YLTPD,엘이디 화면밝기를 오로 해줘,<function_WN>(brightness=5)<end>,['function_WN']
1GNLWJ,밝기를 2로 조정해줘 그러고 나서 이 식당 어때,<function_WN>(brightness=2);<function_MR>()<end>,"['function_WN', 'function_MR']"
1HIIGK,엘이디 눈 밝기를 이단계로 설정해줘 그러고 나서 이 영화 언제 개봉해,<function_WN>(brightness=2);<function_MR>()<end>,"['function_WN', 'function_MR']"
1KQLAS,고정 청정 온 그러고 나서 엘이디를 팔십프로로 바꿔줘,<function_PG>();<function_WN>(brightness=4)<end>,"['function_PG', 'function_WN']"
1NQETM,고정 청정 온 그 후에 밝기를 일로 조정해줘,<function_PG>();<function_WN>(brightness=1)<end>,"['function_PG', 'function_WN']"
1TKAJG,영화 예고편 봤어 또 엘이디를 팔십프로로 바꿔줘,<function_MR>();<function_WN>(brightness=4)<end>,"['function_MR', 'function_WN']"
1UZXUB,스테이션 위치로 복귀하세요 그리고 엘이디 조명 꺼줘,<function_KI>();<function_WN>(brightness=0)<end>,"['function_KI', 'function_WN']"
2AERYM,고정 공기 청정 가동 시작해줘 그 다음에 엘이디 눈 밝기를 백퍼로 바꿔줘,<function_PG>();<function_WN>(brightness=5)<end>,"['function_PG', 'function_WN']"
2BPVUT,밝기 조절해줄 수 있어?,<function_WN>(brightness=-1)<end>,['function_WN']
2FDOAF,고정 공기 청정 실행해줘 그 다음에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_PG>();<function_WN>(get=True)<end>,"['function_PG', 'function_WN']"
2HHRJW,고정 청정 온 그리고 엘이디 눈 조명을 4로 맞할 수 있니,<function_PG>();<function_WN>(brightness=4)<end>,"['function_PG', 'function_WN']"
2IEKQZ,엘이디 화면밝기를 이단계로 설정해줘,<function_WN>(brightness=2)<end>,['function_WN']
2JABAE,이제 그만 복귀해 그리고 엘씨디를 0프로 밝기로 조정해줄래,<function_KI>();<function_WN>(brightness=0)<end>,"['function_KI', 'function_WN']"
2LAHPZ,오늘 저녁 뭐 먹지 그 다음에 밝기를 제로로 설정해줘,<function_MR>();<function_WN>(brightness=0)<end>,"['function_MR', 'function_WN']"
2OHHIY,디스플레이 기본 설정으로 조정해줄래,<function_WN>(brightness=-1)<end>,['function_WN']
2SKCQS,스테이션 위치로 복귀하세요 그리고 가장 낮은 단계로 밝기를 조정할 수 있어,<function_KI>();<function_WN>(brightness=0)<end>,"['function_KI', 'function_WN']"
2WQHBC,엘이디 밝기 일단계로 해줘,<function_WN>(brightness=1)<end>,['function_WN']
2YGRTA,엘이디 화면밝기를 이단계로 해줘,<function_WN>(brightness=2)<end>,['function_WN']
2YOOFF,기본 설정으로 밝기 돌아가,<function_WN>(brightness=-1)<end>,['function_WN']
3CAHPK,고정 공기 청정 실행해줘 그리고 지금 엘이디 아이의 밝기가 어떻게 돼,<function_PG>();<function_WN>(get=True)<end>,"['function_PG', 'function_WN']"
3EPBEY,이제 그만 복귀해 그 후에 엘씨디 디스플레이 밝기 삼으로 바꿔,<function_KI>();<function_WN>(brightness=3)<end>,"['function_KI', 'function_WN']"
3MMYQL,청정 켜봐 그리고 엘이디 아이 화면 밝기 가장 밝게 켜줘,<function_PG>();<function_WN>(brightness=5)<end>,"['function_PG', 'function_WN']"
3MSZZS,밝기를 100퍼로 설정해줘 이어서 주말에 시간 있어,<function_WN>(brightness=5);<function_MR>()<end>,"['function_WN', 'function_MR']"
3OMISO,스테이션 위치로 복귀하세요 엘이디 불빛을 60퍼센트로 올려죠,<function_KI>();<function_WN>(brightness=3)<end>,"['function_KI', 'function_WN']"
3RGNED,밝기를 이단계로 해줘,<function_WN>(brightness=2)<end>,['function_WN']
3SLEKP,청정 켜봐 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,"['function_PG', 'function_WN']"
3ZEUPD,디스플레이의 밝기를 높여줘,<function_WN>(brightness=-1)<end>,['function_WN']
4AUJPD,오늘 무슨 일 있었어 그리고 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_MR>();<function_WN>(get=True)<end>,"['function_MR', 'function_WN']"
4CDGPF,엘씨디 디스플레이 밝기 사로 바꿔 또 오늘 뭐할 계획이야,<function_WN>(brightness=4);<function_MR>()<end>,"['function_WN', 'function_MR']"
4CYWJG,가장 낮은 단계로 밝기를 조정할 수 있어 그 다음에 내일 뭐해,<function_WN>(brightness=0);<function_MR>()<end>,"['function_WN', 'function_MR']"
4DPRVU,충전 위치로 되돌아가 그 후에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_KI>();<function_WN>(get=True)<end>,"['function_KI', 'function_WN']"
4FJFUG,오늘 저녁 뭐 먹을까 이어서 화면 밝기를 5단계로 설정해줘,<function_MR>();<function_WN>(brightness=5)<end>,"['function_MR', 'function_WN']"
4LUNFS,엘이디 화면밝기를 오단계로 해줘,<function_WN>(brightness=5)<end>,['function_WN']
4NKEUI,엘이디 밝기 사단계로 해줘,<function_WN>(brightness=4)<end>,['function_WN']
4RTKLR,엘이디 화면밝기를 영으로 해줘,<function_WN>(brightness=0)<end>,['function_WN']
4SLBLN,충전 위치로 되돌아가 그 다음에 엘이디 눈 밝기 일단계로 높여줄래,<function_KI>();<function_WN>(brightness=1)<end>,"['function_KI', 'function_WN']"
4XEGJH,스테이션 위치로 복귀하세요 밝기를 100퍼로 설정해줘,<function_KI>();<function_WN>(brightness=5)<end>,"['function_KI', 'function_WN']"
4ZPCEW,내일 아침에 일어나야 돼 또 화면 밝기를 4단계로 조정해줄래,<function_MR>();<function_WN>(brightness=4)<end>,"['function_MR', 'function_WN']"
5ATRNP,엘이디 밝기 최소로 설정해줘,<function_WN>(brightness=0)<end>,['function_WN']
5DMHUO,화면 밝기를 최대로 올려줘,<function_WN>(brightness=-1)<end>,['function_WN']
5FFDZW,엘이디 화면밝기를 일로 해줘,<function_WN>(brightness=1)<end>,['function_WN']
5GPBVQ,엘씨디 화면 밝기를 영단계로 조절해줄래 그 다음에 이 책 읽어볼까,<function_WN>(brightness=0);<function_MR>()<end>,"['function_WN', 'function_MR']"
5IUUBR,엘이디 화면밝기를 오단계로 설정해줘,<function_WN>(brightness=5)<end>,['function_WN']
5LFSMV,이제 그만 복귀해 다음으로 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>,"['function_KI', 'function_WN']"
5LMPKQ,엘이디 화면밝기를 사로 해줘,<function_WN>(brightness=4)<end>,['function_WN']
5OLRXP,스테이션 위치로 복귀하세요 다음으로 밝기 몇이야,<function_KI>();<function_WN>(get=True)<end>,"['function_KI', 'function_WN']"
5PYWOO,엘이디 화면밝기를 일단계로 해줘,<function_WN>(brightness=1)<end>,['function_WN']
5UYTNQ,밝기를 일로 조정해줘 다음으로 주말엔 뭐 할거야,<function_WN>(brightness=1);<function_MR>()<end>,"['function_WN', 'function_MR']"
5VSNRX,엘이디 눈 조명을 4로 맞할 수 있니 또 이 책 읽어볼래,<function_WN>(brightness=4);<function_MR>()<end>,"['function_WN', 'function_MR']"
5YZAGX,밝기를 삼단계로 해줘,<function_WN>(brightness=3)<end>,['function_WN']
5ZPGEN,청정 켜봐 그 후에 밝기 몇이야,<function_PG>();<function_WN>(get=True)<end>,"['function_PG', 'function_WN']"
6BPLNG,엘이디 화면밝기를 삼단계로 설정해줘,<function_WN>(brightness=3)<end>,['function_WN']
6BSHPE,고정 공기 청정 가동 시작해줘 이어서 엘이디 눈 밝기 일단계로 높여줄래,<function_PG>();<function_WN>(brightness=1)<end>,"['function_PG', 'function_WN']"
6FASNK,주말에 계획 있어 그 다음에 엘이디 조명 꺼줘,<function_MR>();<function_WN>(brightness=0)<end>,"['function_MR', 'function_WN']"
6FLXOA,고정 공청 기능 켜줘 그리고 엘이디 불빛을 60퍼센트로 올려죠,<function_PG>();<function_WN>(brightness=3)<end>,"['function_PG', 'function_WN']"
6GINTS,현재 밝기 상태가 몇 퍼인지 알고 싶어 그리고 이 영화 재밌을까,<function_WN>(get=True);<function_MR>()<end>,"['function_WN', 'function_MR']"
6JZAHS,이 영화 진짜 재밌어 다음으로 엘이디 아이 밝기 일단계로 높일래,<function_MR>();<function_WN>(brightness=1)<end>,"['function_MR', 'function_WN']"
6KDOHA,밝기 몇이야 그리고 주말에 뭘 하면 좋을지 추천해줘,<function_WN>(get=True);<function_MR>()<end>,"['function_WN', 'function_MR']"
6KGUXP,지금 밝기가 어떻게 되,<function_WN>(get=True)<end>,['function_WN']
6NHYHT,고정 공기 청정 실행해줘 그 후에 밝기를 일로 조정해줘,<function_PG>();<function_WN>(brightness=1)<end>,"['function_PG', 'function_WN']"
6RHZJK,고정 공기 청정 가동 시작해줘 그 후에 엘이디 눈 조명을 3로 맞출 수 있니,<function_PG>();<function_WN>(brightness=3)<end>,"['function_PG', 'function_WN']"
6RUIXS,고정 공청 기능 켜줘 다음으로 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,"['function_PG', 'function_WN']"
6VPYTV,충전하러 복귀 그리고 엘이디 눈 밝기를 백퍼로 바꿔줘,<function_KI>();<function_WN>(brightness=5)<end>,"['function_KI', 'function_WN']"
6WLMVF,엘이디 밝기 삼단계로 해줘,<function_WN>(brightness=3)<end>,['function_WN']
6WYGEV,엘씨디 조도를 삼단계로 맞춰줄래 그리고 운동 갔다 왔어,<function_WN>(brightness=3);<function_MR>()<end>,"['function_WN', 'function_MR']"
6ZFJND,밝기를 오단계로 해줘,<function_WN>(brightness=5)<end>,['function_WN']
7COGZH,처음 위치로 돌아가주면 좋겠어 그리고 엘씨디 디스플레이 밝기 사로 바꿔,<function_KI>();<function_WN>(brightness=4)<end>,"['function_KI', 'function_WN']"
7EDPGJ,화면 밝기를 낮춰줘,<function_WN>(brightness=-1)<end>,['function_WN']
7GEAHI,밝기를 적당히 조정해줘,<function_WN>(brightness=-1)<end>,['function_WN']
7OCDZI,엘씨디 디스플레이 밝기 삼으로 바꿔 그리고 내일 뭐 할거야,<function_WN>(brightness=3);<function_MR>()<end>,"['function_WN', 'function_MR']"
7SPWYJ,엘씨디 화면 밝기를 최대 밝기로 설정해줘 이어서 이 식당 가볼래,<function_WN>(brightness=5);<function_MR>()<end>,"['function_WN', 'function_MR']"
7WJXXP,디스플레이의 밝기를 중간으로 맞춰줘,<function_WN>(brightness=-1)<end>,['function_WN']
8AGRUQ,아침 먹었어 그러고 나서 엘이디 아이 밝기 이단계로 높일래,<function_MR>();<function_WN>(brightness=2)<end>,"['function_MR', 'function_WN']"
8AIOII,엘이디 화변밝기를 일단계로 설정해줘,<function_WN>(brightness=1)<end>,['function_WN']
8CMQRI,청정 켜봐 그리고 엘씨디 화면 밝기를 영단계로 조절해줄래,<function_PG>();<function_WN>(brightness=0)<end>,"['function_PG', 'function_WN']"
8EFOAQ,화면 밝기를 50%로 맞춰줘,<function_WN>(brightness=-1)<end>,['function_WN']
8IHSMB,충전하러 복귀 또 엘씨디 화면 밝기를 최대 밝기로 설정해줘,<function_KI>();<function_WN>(brightness=5)<end>,"['function_KI', 'function_WN']"
