Index,Query(한글),LLM Output,Functions
0CGIRU,음량을 영으로 설정해줘,<function_ZV>(volume=0)<end>,['function_ZV']
0EIZRQ,효과음을 이단계로 설정해줘,<function_ZV>(volume=2)<end>,['function_ZV']
0EZKGQ,볼륨 일로 해줘,<function_ZV>(volume=1)<end>,['function_ZV']
0FILTG,이제 그만 복귀해 효과음을 5단계로 바꿔줘,<function_KI>();<function_ZV>(volume=5)<end>,"['function_KI', 'function_ZV']"
0KOGIY,소리 볼륨을 사로 맞춰줘 그리고 이번 주에 할 일이 많아서 큰일이야,<function_ZV>(volume=4);<function_MR>()<end>,"['function_ZV', 'function_MR']"
0LVBFV,미디음 오로 맞춰 또 아 맛있는 거 먹고 싶은걸,<function_ZV>(volume=5);<function_MR>()<end>,"['function_ZV', 'function_MR']"
0MRFDI,지금 뭐 하고 있어 이어서 효과음 볼륨이 현재 몇 퍼인지 알고 싶어요,<function_MR>();<function_ZV>(get=True)<end>,"['function_MR', 'function_ZV']"
0OYVXQ,볼륨 삼으로 해줘,<function_ZV>(volume=3)<end>,['function_ZV']
0VPLJC,터치음을 이십퍼로 설정해줘 그 다음에 주말에 만날래,<function_ZV>(volume=1);<function_MR>()<end>,"['function_ZV', 'function_MR']"
0XCBGQ,볼륨을 오로 맞춰줘,<function_ZV>(volume=5)<end>,['function_ZV']
0XKLKK,볼륨 사로 해줘,<function_ZV>(volume=4)<end>,['function_ZV']
0YHYDL,기본 수준으로 오디오 설정을 해주세요,<function_ZV>(volume=-1)<end>,['function_ZV']
1BGXUB,고정 공청 기능 켜줘 그 다음에 티티에스 볼륨을 사십프로로 바꿔줘,<function_PG>();<function_ZV>(volume=2)<end>,"['function_PG', 'function_ZV']"
1DKOMO,음량을 삼으로 설정해줘,<function_ZV>(volume=3)<end>,['function_ZV']
1DVYRI,내일 뭐할 계획 있어 그 다음에 음량을 20퍼센트로 올려줘,<function_MR>();<function_ZV>(volume=1)<end>,"['function_MR', 'function_ZV']"
1FXZRP,볼륨을 낮춰줬으면 해요,<function_ZV>(volume=-1)<end>,['function_ZV']
