Index,Query(한글),LLM Output,Functions
0ASWQQ,이제 그만 복귀해 밝기를 일로 조정해줘,<function_KI>();<function_WN>(brightness=1)<end>,"['function_KI', 'function_WN']"
0CIGVC,처음 위치로 돌아가주면 좋겠어 엘이디를 팔십프로로 바꿔줘,<function_KI>();<function_WN>(brightness=4)<end>,"['function_KI', 'function_WN']"
0DCNQW,이제 그만 복귀해 그리고 화면 밝기를 4단계로 조정해줄래,<function_KI>();<function_WN>(brightness=4)<end>,"['function_KI', 'function_WN']"
0EZPFP,충전하러 복귀 이어서 음소거 되어있나요,<function_KI>();<function_MV>(get=True)<end>,"['function_KI', 'function_MV']"
0FILTG,이제 그만 복귀해 효과음을 5단계로 바꿔줘,<function_KI>();<function_ZV>(volume=5)<end>,"['function_KI', 'function_ZV']"
0FTAMX,충전하러 복귀 그 다음에 월요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=3, location=""0"")<end>","['function_KI', 'function_IO']"
0FVGFB,스테이션 위치로 복귀하세요 그리고 일요일 미세먼지 정보 보여줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>","['function_KI', 'function_IO']"
0GKANF,처음 위치로 돌아가주면 좋겠어 그리고 유부이 에릴디 작동 중이야,<function_KI>();<function_NN>(get=True)<end>,"['function_KI', 'function_NN']"
0ILGGD,충전하러 복귀 다음으로 주말 공기질 지수를 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=2, location=""0"")<end>","['function_KI', 'function_IO']"
0KXCPQ,처음 위치로 돌아가주면 좋겠어 그 다음에 일요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>","['function_KI', 'function_IO']"
0MCXQC,충전하러 복귀 그 다음에 전체 공간 청정 해줘,<function_KI>();<function_EF>(action=1)<end>,"['function_KI', 'function_EF']"
0NTOVG,충전하러 복귀 다음으로 아부다비의 수요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=5, location=아부다비)<end>","['function_KI', 'function_MO']"
0PVKTV,충전 위치로 되돌아가 그 다음에 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>,"['function_KI', 'function_WN']"
0QYOZF,스테이션 위치로 복귀하세요 그리고 공기질 모니터링 기능 켜줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>","['function_KI', 'function_IO']"
0RGUWI,이제 그만 복귀해 이어서 고정 공청 기능 켜줘,<function_KI>();<function_PG>()<end>,"['function_KI', 'function_PG']"
0RQVYL,충전 위치로 되돌아가 그리고 일요일 전주 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=9, location=전주)<end>","['function_KI', 'function_IO']"
0WKHKW,충전 위치로 되돌아가 또 유뷔 엘리디 작동 정지해,<function_KI>();<function_NN>(enable=False)<end>,"['function_KI', 'function_NN']"
0YTROP,처음 위치로 돌아가주면 좋겠어 그 다음에 목요일 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>","['function_KI', 'function_MO']"
1AHNGR,이제 그만 복귀해 다음으로 화요일 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=4, location=""0"")<end>","['function_KI', 'function_IO']"
1BGDQN,충전 위치로 되돌아가 그리고 풍속 터보로 조정해줘,<function_KI>();<function_NK>(speed=4)<end>,"['function_KI', 'function_NK']"
1BYXJK,처음 위치로 돌아가주면 좋겠어 그리고 현재 하노이 날씨 알려주세요,"<function_KI>();<function_MO>(timeframe=0, location=하노이)<end>","['function_KI', 'function_MO']"
1GPSJR,충전 위치로 되돌아가 그 다음에 주말 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=2, location=""0"")<end>","['function_KI', 'function_IO']"
1HCTFK,스테이션 위치로 복귀하세요 다음으로 소리 꺼줘,<function_KI>();<function_ZV>(volume=0)<end>,"['function_KI', 'function_ZV']"
1IFIXM,처음 위치로 돌아가주면 좋겠어 그 다음에 기기 언어 설정 한국어로 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,"['function_KI', 'function_HS']"
1IOTVP,처음 위치로 돌아가주면 좋겠어 그 다음에 언어 영어로 맞춰,<function_KI>();<function_HS>(type=2)<end>,"['function_KI', 'function_HS']"
1JBICW,충전하러 복귀 미디음을 1단계로 조정해줄래,<function_KI>();<function_ZV>(volume=1)<end>,"['function_KI', 'function_ZV']"
1JJRIR,충전 하러가,<function_KI>()<end>,['function_KI']
1QQMEI,충전하러 복귀 다음으로 한글로 언어 설정 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,"['function_KI', 'function_HS']"
1QYEZU,처음 위치로 돌아가주면 좋겠어 그러고 나서 현재 하노이 공기질 알려주세요,"<function_KI>();<function_IO>(timeframe=0, location=하노이)<end>","['function_KI', 'function_IO']"
1RYGFY,이제 그만 복귀해 월요일 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=3, location=""0"")<end>","['function_KI', 'function_MO']"
1SCYJG,처음 위치로 돌아가주면 좋겠어 다음으로 월요일 리우데자네이루 날씨 비 와,"<function_KI>();<function_MO>(timeframe=3, location=리우데자네이루)<end>","['function_KI', 'function_MO']"
1THYAR,이제 그만 복귀해 다음으로 스캐닝 청정 상태 좀 알려줘,<function_KI>();<function_IH>(get=True)<end>,"['function_KI', 'function_IH']"
1UBCKN,스테이션 위치로 복귀하세요 그리고 풍속 자동으로 해줘,<function_KI>();<function_NK>(speed=0)<end>,"['function_KI', 'function_NK']"
1UYXXA,이제 그만 복귀해 그리고 월요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=3, location=""0"")<end>","['function_KI', 'function_MO']"
1UZXUB,스테이션 위치로 복귀하세요 그리고 엘이디 조명 꺼줘,<function_KI>();<function_WN>(brightness=0)<end>,"['function_KI', 'function_WN']"
1VOPRN,스테이션 위치로 복귀하세요 오늘 부산 공기 어때,"<function_KI>();<function_IO>(timeframe=0, location=부산)<end>","['function_KI', 'function_IO']"
1WHTMO,충전 위치로 되돌아가 또 수요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=5, location=""0"")<end>","['function_KI', 'function_MO']"
1WPPGX,스테이션 위치로 복귀하세요 그리고 바람 강도 터보로 맞춰줘,<function_KI>();<function_NK>(speed=4)<end>,"['function_KI', 'function_NK']"
1ZJHEN,스테이션 위치로 복귀하세요 또 음소거 아닌 상태야,<function_KI>();<function_MV>(get=True)<end>,"['function_KI', 'function_MV']"
1ZTUFQ,이제 그만 복귀해 그리고 목요일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>","['function_KI', 'function_MO']"
2BHSWN,이제 그만 복귀해 그리고 강풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=3)<end>,"['function_KI', 'function_NK']"
2DRJHC,충전하러 복귀 그리고 팬 풍냥 중풍 세기로 해줘,<function_KI>();<function_NK>(speed=2)<end>,"['function_KI', 'function_NK']"
2GFTMS,충전하러 복귀 이어서 터치음을 육십퍼로 설정해줘,<function_KI>();<function_ZV>(volume=3)<end>,"['function_KI', 'function_ZV']"
2GNVII,스테이션 위치로 복귀하세요 그 후에 일요일 군산 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=9, location=군산)<end>","['function_KI', 'function_IO']"
2HIHZN,이제 그만 복귀해 또 음량을 40퍼센트로 올려줘,<function_KI>();<function_ZV>(volume=2)<end>,"['function_KI', 'function_ZV']"
2IGDLX,스테이션 복귀해,<function_KI>()<end>,['function_KI']
2IJLJR,충전하러 복귀 다음으로 공기질 상태 표시 작동 정지해,<function_KI>();<function_SC>(enable=False)<end>,"['function_KI', 'function_SC']"
2JABAE,이제 그만 복귀해 그리고 엘씨디를 0프로 밝기로 조정해줄래,<function_KI>();<function_WN>(brightness=0)<end>,"['function_KI', 'function_WN']"
2NCBNM,충전하러 복귀 이어서 목요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>","['function_KI', 'function_MO']"
2RPNIY,충전하러 움직여,<function_KI>()<end>,['function_KI']
2SKCQS,스테이션 위치로 복귀하세요 그리고 가장 낮은 단계로 밝기를 조정할 수 있어,<function_KI>();<function_WN>(brightness=0)<end>,"['function_KI', 'function_WN']"
2UZRGF,충전 위치로 되돌아가 다음으로 수요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=5, location=""0"")<end>","['function_KI', 'function_IO']"
2XPJFJ,처음 위치로 돌아가주면 좋겠어 다음으로 풍속 설정된 값 확인해줄래,<function_KI>();<function_NK>(get=True)<end>,"['function_KI', 'function_NK']"
2ZDMVI,스테이션 위치로 복귀하세요 그리고 화요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=4, location=""0"")<end>","['function_KI', 'function_IO']"
2ZLFKL,충전하러 복귀 그리고 고정 공기 청정 가동 시작해줘,<function_KI>();<function_PG>()<end>,"['function_KI', 'function_PG']"
2ZOAEC,충전하러 복귀 그리고 내일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=1, location=""0"")<end>","['function_KI', 'function_MO']"
3BHXFY,충전하러 복귀 또 토요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=8, location=""0"")<end>","['function_KI', 'function_IO']"
3CEHIR,처음 위치로 돌아가주면 좋겠어 마닐라의 목요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=6, location=마닐라)<end>","['function_KI', 'function_MO']"
3EPBEY,이제 그만 복귀해 그 후에 엘씨디 디스플레이 밝기 삼으로 바꿔,<function_KI>();<function_WN>(brightness=3)<end>,"['function_KI', 'function_WN']"
3GGQIU,충전하러 복귀 그러고 나서 소리 볼륨을 사로 맞춰줘,<function_KI>();<function_ZV>(volume=4)<end>,"['function_KI', 'function_ZV']"
3HRAPF,충전하러 복귀 그 후에 오늘 공기 모니터링 화면 띄워줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>","['function_KI', 'function_IO']"
3IAXBW,이제 그만 복귀해 또 모임실으로 가서 청정해 줘,<function_KI>();<function_FF>(position=모임실)<end>,"['function_KI', 'function_FF']"
3IJASD,이제 그만 복귀해 또 전체 이동 공기청정 할래,<function_KI>();<function_EF>(action=1)<end>,"['function_KI', 'function_EF']"
3JBHPX,충전하러 복귀 다음으로 수요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=5, location=""0"")<end>","['function_KI', 'function_IO']"
3JEXVK,이제 그만 복귀해 그러고 나서 금요일 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=7, location=""0"")<end>","['function_KI', 'function_IO']"
3JFKMH,처음 위치로 돌아가주면 좋겠어 그 후에 유비 에리디 상태가 어떤가요,<function_KI>();<function_NN>(get=True)<end>,"['function_KI', 'function_NN']"
3JIDMA,충전하러 복귀 그리고 월요일 케이프타운 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=3, location=케이프타운)<end>","['function_KI', 'function_IO']"
3KJYZN,충전하러 복귀 이어서 배터리 상태 알려줘,<function_KI>();<function_JJ>()<end>,"['function_KI', 'function_JJ']"
3KQGYW,처음 위치로 돌아가주면 좋겠어 그러고 나서 유아부실에서 청정해 줘,<function_KI>();<function_FF>(position=유아부실)<end>,"['function_KI', 'function_FF']"
3LCODL,충전하러 복귀 그 다음에 공기질 상태 표시 켜줘,<function_KI>();<function_SC>(enable=True)<end>,"['function_KI', 'function_SC']"
3MHRWK,충전 위치로 되돌아가 그 다음에 수요일 카사블랑카 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=5, location=카사블랑카)<end>","['function_KI', 'function_MO']"
3MLREV,충전하러 복귀 또 미디음을 제일 낮게 설정해 줘,<function_KI>();<function_ZV>(volume=0)<end>,"['function_KI', 'function_ZV']"
3OMISO,스테이션 위치로 복귀하세요 엘이디 불빛을 60퍼센트로 올려죠,<function_KI>();<function_WN>(brightness=3)<end>,"['function_KI', 'function_WN']"
3OOVRZ,충전 위치로 되돌아가 또 카트만두의 목요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=6, location=카트만두)<end>","['function_KI', 'function_MO']"
3RCZQV,충전하러 복귀 그리고 터치음을 사십퍼로 올려줘,<function_KI>();<function_ZV>(volume=2)<end>,"['function_KI', 'function_ZV']"
3RFOVW,스테이션 위치로 복귀하세요 그리고 현재 부산 날씨 알려주세요,"<function_KI>();<function_MO>(timeframe=0, location=부산)<end>","['function_KI', 'function_MO']"
3TAJRY,이제 그만 복귀해 그 다음에 미디음의 볼륨 몇 단계인지 말해줄래,<function_KI>();<function_ZV>(get=True)<end>,"['function_KI', 'function_ZV']"
3WLIAA,처음 위치로 돌아가주면 좋겠어 그리고 일요일 송도 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=9, location=송도)<end>","['function_KI', 'function_IO']"
3WZTJF,충전하러 복귀 또 이 옷 어때 괜찮아 보여,<function_KI>();<function_MR>()<end>,"['function_KI', 'function_MR']"
3XILQZ,처음 위치로 돌아가주면 좋겠어 다음으로 목요일 카트만두 TVOC 농도는 얼마야,"<function_KI>();<function_IO>(timeframe=6, location=카트만두)<end>","['function_KI', 'function_IO']"
3XTTSO,충전하러 복귀 다음으로 화요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=4, location=""0"")<end>","['function_KI', 'function_MO']"
4DIWAI,충전 위치로 되돌아가 그 다음에 기기 언어 영어로 바꿔줄래,<function_KI>();<function_HS>(type=2)<end>,"['function_KI', 'function_HS']"
4DPRVU,충전 위치로 되돌아가 그 후에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_KI>();<function_WN>(get=True)<end>,"['function_KI', 'function_WN']"
4FCNQZ,스테이션 위치로 복귀하세요 그리고 내일 제주시 TVOC 농도는 얼마야,"<function_KI>();<function_IO>(timeframe=1, location=제주시)<end>","['function_KI', 'function_IO']"
4GSEVB,스테이션 위치로 복귀하세요 이어서 목요일 기기 근처 공기 상태는 어때,"<function_KI>();<function_IO>(timeframe=6, location=""0"")<end>","['function_KI', 'function_IO']"
4HVZXF,충전 위치로 되돌아가 그러고 나서 스캐닝 공기청정 상태가 어떤가요,<function_KI>();<function_IH>(get=True)<end>,"['function_KI', 'function_IH']"
4NCHEA,충전하러 복귀 그 다음에 티티에스 볼륨을 이십프로로 바꿔줘,<function_KI>();<function_ZV>(volume=1)<end>,"['function_KI', 'function_ZV']"
