Index,Query(한글),LLM Output,Functions
0AKHYG,화요일 일산 날씨 알려줘,"<function_MO>(timeframe=4, location=""일산"")<end>",['function_MO']
0ANWQP,화요일 산티아고 날씨 어때,"<function_MO>(timeframe=4, location=""산티아고"")<end>",['function_MO']
0AZGIR,토요일 세종시 날씨 더울까,"<function_MO>(timeframe=8, location=""세종시"")<end>",['function_MO']
0BQZFH,내일 아부다비 날씨 안내해줘,"<function_MO>(timeframe=1, location=""아부다비"")<end>",['function_MO']
0BSKEH,앤트워프의 월요일 날씨 전망을 표시해주세요,"<function_MO>(timeframe=3, location=""앤트워프"")<end>",['function_MO']
0CLRLO,월요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=3, location=""0"")<end>",['function_MO']
0CWWOW,목요일 워르소 날씨에 눈 오니,"<function_MO>(timeframe=6, location=""워르소"")<end>",['function_MO']
0DBFXU,월요일 하얼빈 날씨 알려줘,"<function_MO>(timeframe=3, location=""하얼빈"")<end>",['function_MO']
0DTVES,주말 나이로비 날씨 더워,"<function_MO>(timeframe=2, location=""나이로비"")<end>",['function_MO']
0DVAKD,화요일 마르세유 날씨 알려주세요,"<function_MO>(timeframe=4, location=""마르세유"")<end>",['function_MO']
0EPTKU,월요일 멜버른 날씨 몇 도일까,"<function_MO>(timeframe=3, location=""멜버른"")<end>",['function_MO']
0FMZYF,일요일 날씨 몇 도야,"<function_MO>(timeframe=9, location=""0"")<end>",['function_MO']
0FUQCU,목요일 슈투트가르트 날씨 어때요,"<function_MO>(timeframe=6, location=""슈투트가르트"")<end>",['function_MO']
0GNSLV,고정 공청 기능 켜줘 월요일 카이로 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=3, location=카이로)<end>","['function_PG', 'function_MO']"
0GVAUX,주말 루체른 날씨가 어떤가요,"<function_MO>(timeframe=2, location=""루체른"")<end>",['function_MO']
0GVSTL,금요일 날씨 말해줘요,"<function_MO>(timeframe=7, location=""0"")<end>",['function_MO']
0HIIWN,다음 주에 있을 약속이 취소돼서 좀 아쉽다 그 다음에 수요일 날씨 알려줘,"<function_MR>();<function_MO>(timeframe=5, location=""0"")<end>","['function_MR', 'function_MO']"
0HMYJR,주말 포항 날씨 어때,"<function_MO>(timeframe=2, location=""포항"")<end>",['function_MO']
0HRDBU,목요일 남원 날씨 좀 알려줄래,"<function_MO>(timeframe=6, location=""남원"")<end>",['function_MO']
0IRLAD,중구 주말 날씨 알려줘,"<function_MO>(timeframe=2, location=""중구"")<end>",['function_MO']
0JGZKX,월요일 익산 날씨 좀 알려주세요,"<function_MO>(timeframe=3, location=""익산"")<end>",['function_MO']
0JJWJX,금요일 화성 날씨 알려줘,"<function_MO>(timeframe=7, location=""화성"")<end>",['function_MO']
0LPUYJ,주말 날씨 보여줘,"<function_MO>(timeframe=2, location=""0"")<end>",['function_MO']
0MCJLT,내일 날씨 추울까 그 다음에 내일은 조금 일찍 일어나서 할 일 좀 미리 해둬야겠어,"<function_MO>(timeframe=1, location=""0"");<function_MR>()<end>","['function_MO', 'function_MR']"
0MRSFT,주말 날씨 알려줄래,"<function_MO>(timeframe=2, location=""0"")<end>",['function_MO']
0MRTNE,금요일 해운대 날씨 비 와 이어서 오늘은 하루 종일 바쁘게 보냈는데도 아직 해야 할 일이 남아있어,"<function_MO>(timeframe=7, location=해운대);<function_MR>()<end>","['function_MO', 'function_MR']"
0MSLWI,화요일 케이프타운 날씨 몇 도일까,"<function_MO>(timeframe=4, location=""케이프타운"")<end>",['function_MO']
0MZPOW,목요일 날씨 몇 도야,"<function_MO>(timeframe=6, location=""0"")<end>",['function_MO']
0NCQKH,금요일 날씨 정보 표시해줄래,"<function_MO>(timeframe=7, location=""0"")<end>",['function_MO']
0NHEGE,토요일 여기 날씨 어때,"<function_MO>(timeframe=8, location=""0"")<end>",['function_MO']
0NTOVG,충전하러 복귀 다음으로 아부다비의 수요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=5, location=아부다비)<end>","['function_KI', 'function_MO']"
0OGNXA,금요일 날씨 많이 추워,"<function_MO>(timeframe=7, location=""보고"")<end>",['function_MO']
0PUVTK,일요일 날씨 보여줘,"<function_MO>(timeframe=9, location=""0"")<end>",['function_MO']
