Index,Query(한글),LLM Output,Functions
0BHLMI,설정이 가능한 언어 종류 뭐야,<function_JS>(type=8)<end>,['function_JS']
0CWOFW,상단 화면에 대해 설명해 줘,<function_JS>(type=7)<end>,['function_JS']
0GAYWN,엘이디 아이에 대해 설명해 줘,<function_JS>(type=7)<end>,['function_JS']
0PMRQS,센서의 민감도를 조정하는 이유는 무엇인가요?,<function_JS>(type=9)<end>,['function_JS']
0VITXJ,매너모드는 무슨 기능이야,<function_JS>(type=1)<end>,['function_JS']
0WMWLX,설정 가능한 언어에 종류 설명해 줘,<function_JS>(type=8)<end>,['function_JS']
1PDLZZ,에이아이 모드에 대해 설명해 줘,<function_JS>(type=10)<end>,['function_JS']
1SLJKZ,전면부 엘이디에 대해 설명해 줘,<function_JS>(type=7)<end>,['function_JS']
1YMQRJ,에이아이 모드는 어디서 설정해,<function_JS>(type=10)<end>,['function_JS']
2IMIJI,유브이 엘이디는 어떤 기능이야,<function_JS>(type=6)<end>,['function_JS']
2PEVMA,매너모드는 어떤 기능이야,<function_JS>(type=1)<end>,['function_JS']
2QWUPY,프라이버시 모드는 어떤 기능이야,<function_JS>(type=2)<end>,['function_JS']
3GIYAW,센서 민감도가 뭔지 알려줘요,<function_JS>(type=9)<end>,['function_JS']
3KCXSH,센서 민감도 설정은 어떻게 해요,<function_JS>(type=9)<end>,['function_JS']
3LLJUP,나이트 모드는 뭐야,<function_JS>(type=3)<end>,['function_JS']
3ZAUOI,나이트 모드는 무슨 기능이야,<function_JS>(type=3)<end>,['function_JS']
4GXMSH,엘이디 아이 역할이 뭐야,<function_JS>(type=7)<end>,['function_JS']
4LGWSD,변경 가능한 언어에 대해 설명해 줘,<function_JS>(type=8)<end>,['function_JS']
4QLXAH,탑재된 디스플레이에 대해 설명해 죠,<function_JS>(type=7)<end>,['function_JS']
4QTJUO,매너모드에 대해 설명해 줘,<function_JS>(type=1)<end>,['function_JS']
4YSAZJ,민감도 센서가 뭐예요,<function_JS>(type=9)<end>,['function_JS']
5DVKMM,센서 민감도 설정에 대해 설명해 줘,<function_JS>(type=9)<end>,['function_JS']
5FWOXJ,유브이 엘이디는 뭘 말하는거야,<function_JS>(type=6)<end>,['function_JS']
5MSRMY,프라이버시 모드에 대해 설명해 죠,<function_JS>(type=2)<end>,['function_JS']
5WXFWG,나무 보이스는 뭐야,<function_JS>(type=4)<end>,['function_JS']
5ZEIIB,유브이 엘이디는 무슨 기능이야,<function_JS>(type=6)<end>,['function_JS']
6BWARD,나무 보이스는 뭘 말하는거야,<function_JS>(type=4)<end>,['function_JS']
6HEGIO,온도 단위 변경을 위한 메뉴는 어디에 있어?,<function_JS>(type=5)<end>,['function_JS']
6LSEUI,나무 보이스는 어떤 기능이야,<function_JS>(type=4)<end>,['function_JS']
6YDWLU,프라이버시 모드는 뭘 말하는거야,<function_JS>(type=2)<end>,['function_JS']
7JACNU,나이트 모드는 뭘 말하는거야,<function_JS>(type=3)<end>,['function_JS']
7SBXEP,사용 가능한 온도 단위가 뭐야?,<function_JS>(type=5)<end>,['function_JS']
7VFINA,나이트 모드는 어떤 기능이야,<function_JS>(type=3)<end>,['function_JS']
8DOWFW,에이아이 모드는 어떻게 설정하는거야,<function_JS>(type=10)<end>,['function_JS']
8DVUNO,유브이 엘이디에 대해 설명해 줘,<function_JS>(type=6)<end>,['function_JS']
8EMMQO,에이아이 모드에 대해 알려줘,<function_JS>(type=10)<end>,['function_JS']
8LQXOK,매너모드는 뭘 말하는거야,<function_JS>(type=1)<end>,['function_JS']
8YYJFN,매너모드는 뭐야,<function_JS>(type=1)<end>,['function_JS']
9JLAUJ,탑재된 언어 종류에 대해 알려줘,<function_JS>(type=8)<end>,['function_JS']
9YSRZC,센서 민감도는 왜 설정해야 하지,<function_JS>(type=9)<end>,['function_JS']
