Index,Query(한글),LLM Output,Functions
0EYUVH,프라이버시 모드 중지해줘,<function_GN>(enable=False)<end>,['function_GN']
0FQPUP,고정 공기 청정 실행해줘 그 다음에 프라이버시 상태 확인해줘,<function_PG>();<function_GN>(get=True)<end>,"['function_PG', 'function_GN']"
0QOEFS,고정 청정 온 또 프라이버시 설정 활성화해줄 수 있어,<function_PG>();<function_GN>(enable=True)<end>,"['function_PG', 'function_GN']"
0TBNVZ,프라이버시 모드 작동시켜줘,<function_GN>(enable=True)<end>,['function_GN']
1MFZSI,지금 프라이버시 기능 켜놨나요,<function_GN>(get=True)<end>,['function_GN']
1QQRTQ,고정 청정 온 지금 프라이버시 모드 상태가 어떻게 돼,<function_PG>();<function_GN>(get=True)<end>,"['function_PG', 'function_GN']"
1XXCMG,고정 청정 온 그리고 프라이버시 기능 꺼줘,<function_PG>();<function_GN>(enable=False)<end>,"['function_PG', 'function_GN']"
2DKEUO,프라이버시 설정해줘,<function_GN>(enable=True)<end>,['function_GN']
2FTTUC,현재 프라이버시가 어떤 상태입니까 그 다음에 다음 주에 중요한 발표가 있는데 준비가 잘 될지 걱정 돼,<function_GN>(get=True);<function_MR>()<end>,"['function_GN', 'function_MR']"
2NEQLI,프라이버시 모드 켜줘,<function_GN>(enable=True)<end>,['function_GN']
2OHPOR,고정 공기 청정 가동 시작해줘 그리고 프라이버시 기능 켜져있나요,<function_PG>();<function_GN>(get=True)<end>,"['function_PG', 'function_GN']"
2TJEDJ,지금 프라이버시 기능 돌아가고 있니,<function_GN>(get=True)<end>,['function_GN']
4ECFPA,지금 프라이버시 기능 상태 좀 볼래,<function_GN>(get=True)<end>,['function_GN']
4FLITE,오늘 하루 종일 바빴는데 이제야 좀 쉬는 시간이 생겼어 그 후에 프라이버시 기능 꺼줘,<function_MR>();<function_GN>(enable=False)<end>,"['function_MR', 'function_GN']"
4LEIEK,프라이버시 중지해주실 수 있나요 그 후에 새로운 취미를 찾고 싶어 요즘 뭔가 색다른 걸 해보고 싶어,<function_GN>(enable=False);<function_MR>()<end>,"['function_GN', 'function_MR']"
4OSPFZ,프라이버시 활성화해줘,<function_GN>(enable=True)<end>,['function_GN']
4RIEOE,청정 켜봐 그러고 나서 프라이버시 기능 켜줘,<function_PG>();<function_GN>(enable=True)<end>,"['function_PG', 'function_GN']"
5ILIOT,프라이버시 설정 비활성화할 수 있어 그 후에 다음 주에 새로운 프로젝트를 시작하는데 준비가 잘 될까 걱정이야,<function_GN>(enable=False);<function_MR>()<end>,"['function_GN', 'function_MR']"
5XJOIY,프라이버시로 바꿔주실 수 있나요 그리고 오랜만에 영화를 한 편 봤는데 정말 감동적이었어,<function_GN>(enable=True);<function_MR>()<end>,"['function_GN', 'function_MR']"
5XYOCV,프라이버시 설정 활성화해줄 수 있어 그리고 하나의 영화만 평생 볼 수 있다면 뭘 선택할 거야,<function_GN>(enable=True);<function_MR>()<end>,"['function_GN', 'function_MR']"
6DSQQY,프라이버시 해제해줘,<function_GN>(enable=False)<end>,['function_GN']
6ICLTQ,청정 켜봐 그 다음에 프라이버시 중지해주실 수 있나요,<function_PG>();<function_GN>(enable=False)<end>,"['function_PG', 'function_GN']"
7RQHOH,지금 프라이버시 기능 멈춰있나요,<function_GN>(get=True)<end>,['function_GN']
8CFBFP,프라이버시 모드 실행해줘,<function_GN>(enable=True)<end>,['function_GN']
8GALUY,프라이버시 비활성화해줘,<function_GN>(enable=False)<end>,['function_GN']
8KXSPQ,고정 공기 청정 가동 시작해줘 그 후에 프라이버시 작동시켜,<function_PG>();<function_GN>(enable=True)<end>,"['function_PG', 'function_GN']"
9XIHMU,프라이버시 설정 활성화하셨나요 그 다음에 아침에 일찍 일어나서 운동하는 게 생각보다 힘들지 않더라,<function_GN>(get=True);<function_MR>()<end>,"['function_GN', 'function_MR']"
