Index,Query(한글),LLM Output,Functions
0ARLFI,유기화합물은 어떤 거야,<function_HW>(type=3)<end>,['function_HW']
0RGFQL,미세먼지는 왜 건강에 나쁜가요?,<function_HW>(type=1)<end>,['function_HW']
1SLJIK,초미세먼지는 무슨 뜻인가요?,<function_HW>(type=2)<end>,['function_HW']
2FOVEL,유기화합물이 뭐예요,<function_HW>(type=3)<end>,['function_HW']
2KZPEE,유기화합물이란 무엇을 의미합니까,<function_HW>(type=3)<end>,['function_HW']
3RTCNM,초미세먼지란 무엇을 의미합니까,<function_HW>(type=2)<end>,['function_HW']
4APQMJ,질소산화물이란 무엇입니까,<function_HW>(type=4)<end>,['function_HW']
4BORCR,미세먼지가 무슨 의미야,<function_HW>(type=1)<end>,['function_HW']
4EPPYY,대기 중의 질소산화물은 어떤 역할을 하나요?,<function_HW>(type=4)<end>,['function_HW']
4PGHJK,초미세먼지는 어떤 물질입니까,<function_HW>(type=2)<end>,['function_HW']
4UIJFH,유기화합물이 무슨 의미일까,<function_HW>(type=3)<end>,['function_HW']
4WMGAE,이산화탄소가 뭔지 말해줘,<function_HW>(type=6)<end>,['function_HW']
5EAIMQ,질소산화물이 뭔데,<function_HW>(type=4)<end>,['function_HW']
5XBQFM,포름알데히드가 무엇인지 말해줘,<function_HW>(type=5)<end>,['function_HW']
6DCBDO,미세먼지가 무엇입니까,<function_HW>(type=1)<end>,['function_HW']
6JLTIE,유기화합물을 알려줘,<function_HW>(type=3)<end>,['function_HW']
6UQUTB,이산화탄소는 어떤 물질이야,<function_HW>(type=6)<end>,['function_HW']
6WBXWD,포름알데히드는 어디서 나와,<function_HW>(type=5)<end>,['function_HW']
6ZFSLW,초미세먼지가 폐에 어떤 영향을 줍니까?,<function_HW>(type=2)<end>,['function_HW']
7CMEYZ,포름알데히드를 알려줘,<function_HW>(type=5)<end>,['function_HW']
7JMLIX,미세먼지 알려줘,<function_HW>(type=1)<end>,['function_HW']
8EOYJV,포름알데히드는 건강에 어떤 영향을 줘,<function_HW>(type=5)<end>,['function_HW']
8QVGCZ,이산화탄소를 설명해줘,<function_HW>(type=6)<end>,['function_HW']
8UKPKL,질소산화물이 도대체 뭐야,<function_HW>(type=4)<end>,['function_HW']
9SXNQQ,미세먼지는 어떤 유해한 물질이 있어?,<function_HW>(type=1)<end>,['function_HW']
