Index,Query(한글),LLM Output,Functions
0CAISP,풍량 강풍으로 바꿔줘,<function_NK>(speed=3)<end>,['function_NK']
0CBIBZ,풍량을 조금 줄여주세요,<function_NK>(speed=-1)<end>,['function_NK']
0EDYNH,풍량을 낮춰주세요,<function_NK>(speed=-1)<end>,['function_NK']
0GEHXS,내일 중요한 미팅 있어 이어서 바람 강도 자동으로 맞춰줘,<function_MR>();<function_NK>(speed=0)<end>,"['function_MR', 'function_NK']"
0LCDVR,이 영화 예고편 봤어 다음으로 풍량을 터보로 바꿔줘,<function_MR>();<function_NK>(speed=4)<end>,"['function_MR', 'function_NK']"
0NSZAC,팬 풍냥 터보 세기로 해줘 다음으로 오늘 뭔가 할 게 많아,<function_NK>(speed=4);<function_MR>()<end>,"['function_NK', 'function_MR']"
0OYVXZ,풍속 중풍으로 조정해줘 그 후에 오늘 하루 어땠어,<function_NK>(speed=2);<function_MR>()<end>,"['function_NK', 'function_MR']"
0PUZUR,약풍으로 바꿔줘,<function_NK>(speed=1)<end>,['function_NK']
0RLGFK,약한 바람으로 해줘,<function_NK>(speed=1)<end>,['function_NK']
1BGDQN,충전 위치로 되돌아가 그리고 풍속 터보로 조정해줘,<function_KI>();<function_NK>(speed=4)<end>,"['function_KI', 'function_NK']"
1DJNAE,바람 약하게 해줘,<function_NK>(speed=1)<end>,['function_NK']
1EORDK,고정 공기 청정 가동 시작해줘 그리고 풍속 약풍으로 조정해줘,<function_PG>();<function_NK>(speed=1)<end>,"['function_PG', 'function_NK']"
1LYUFG,청정 켜봐 다음으로 풍속 강풍으로 조정해줘,<function_PG>();<function_NK>(speed=3)<end>,"['function_PG', 'function_NK']"
1NJOFW,커피 마실래 그러고 나서 풍속 몇으로 맞춰져 있는지 확인해줘,<function_MR>();<function_NK>(get=True)<end>,"['function_MR', 'function_NK']"
1ONLIZ,강풍으로 설정해줘,<function_NK>(speed=3)<end>,['function_NK']
1QARGM,팬 풍냥 강풍 세기로 해줘 그 다음에 오늘 일정 끝났어,<function_NK>(speed=3);<function_MR>()<end>,"['function_NK', 'function_MR']"
1TLMKX,중풍으로 바꿔줘,<function_NK>(speed=2)<end>,['function_NK']
1UBCKN,스테이션 위치로 복귀하세요 그리고 풍속 자동으로 해줘,<function_KI>();<function_NK>(speed=0)<end>,"['function_KI', 'function_NK']"
1WPPGX,스테이션 위치로 복귀하세요 그리고 바람 강도 터보로 맞춰줘,<function_KI>();<function_NK>(speed=4)<end>,"['function_KI', 'function_NK']"
1XSHFS,자동 풍속으로 조정해줘 이어서 넌 주말에 보통 뭐 해,<function_NK>(speed=0);<function_MR>()<end>,"['function_NK', 'function_MR']"
1ZHEZT,고정 공기 청정 가동 시작해줘 다음으로 풍속 터보로 조정해줘,<function_PG>();<function_NK>(speed=4)<end>,"['function_PG', 'function_NK']"
2AUTKW,풍량 낮춰주실래요?,<function_NK>(speed=-1)<end>,['function_NK']
2BHSWN,이제 그만 복귀해 그리고 강풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=3)<end>,"['function_KI', 'function_NK']"
2DRJHC,충전하러 복귀 그리고 팬 풍냥 중풍 세기로 해줘,<function_KI>();<function_NK>(speed=2)<end>,"['function_KI', 'function_NK']"
2IYONZ,운동 다녀왔어 그리고 풍량을 약풍으로 바꿔줘,<function_MR>();<function_NK>(speed=1)<end>,"['function_MR', 'function_NK']"
2LQTMC,팬 풍량이 몇이야,<function_NK>(get=True)<end>,['function_NK']
2MNIRU,고정 공청 기능 켜줘 팬 풍냥 강풍 세기로 해줘,<function_PG>();<function_NK>(speed=3)<end>,"['function_PG', 'function_NK']"
2PHQNO,바람을 약하게 해주세요,<function_NK>(speed=-1)<end>,['function_NK']
2RHDUT,고정 공기 청정 가동 시작해줘 다음으로 터보 바람 세기로 해줘,<function_PG>();<function_NK>(speed=4)<end>,"['function_PG', 'function_NK']"
2WTFMP,고정 공기 청정 실행해줘 풍속 터보로 조정해줘,<function_PG>();<function_NK>(speed=4)<end>,"['function_PG', 'function_NK']"
