Index,Query(한글),LLM Output,Functions
0ARBCO,어린이가 주의해야 하는 사항을 알려죠,<function_DW>(type=1)<end>,['function_DW']
0ZIUPD,이 기계 사용 시 어떤 거 조심해야 해,<function_DW>(type=4)<end>,['function_DW']
1ERBWI,공기청정기 설치 시 주의사항만 알려줘.,<function_DW>(type=3)<end>,['function_DW']
2NFNYF,공기청정기 설치 방법에서 주의할 점 있어?,<function_DW>(type=3)<end>,['function_DW']
3CZJDH,공기청정기 사용할 때 주의할 점 간단히 알려줘,<function_DW>(type=4)<end>,['function_DW']
3ORERT,이 기계를 사용할 때 주의해야 할 사항은 무엇인가요?,<function_DW>(type=4)<end>,['function_DW']
4PLKIX,이 제품 작동 시 조심해야 할 거 뭐가 있어?,<function_DW>(type=4)<end>,['function_DW']
4WZXWS,충전할 때에는 뭘 조심해야해,<function_DW>(type=2)<end>,['function_DW']
5JWNGC,충전 중에 내가 조심해야 할 게 있어,<function_DW>(type=2)<end>,['function_DW']
5KVAAH,공기청정기 설치 시 주의해야 할 거 뭐가 있어?,<function_DW>(type=3)<end>,['function_DW']
6CLKVH,충전시 주의사항을 알려줘,<function_DW>(type=2)<end>,['function_DW']
6MIVFE,충전 중일 때 어떤 주의사항이 있어,<function_DW>(type=2)<end>,['function_DW']
6VYSQQ,어린이가 조심해야 하는 주의사항을 알려죠,<function_DW>(type=1)<end>,['function_DW']
7HOMWW,공기청정기 설치 순서에서 주의할 점 있니?,<function_DW>(type=3)<end>,['function_DW']
8GZDIT,공기청정기 사용 중 주의할 점 뭐예요,<function_DW>(type=4)<end>,['function_DW']
9IFAUY,어린이가 사용할 때 조심해야 하는 게 뭐야,<function_DW>(type=1)<end>,['function_DW']
9UADMG,공기청정기 설치 시 주의할 점만 말해봐.,<function_DW>(type=3)<end>,['function_DW']
